id,nom,valeur
1,Farid,18.91
2,Farid,286.34
3,David,208.17
4,Alice,121.6
5,Bob,45.94
6,Farid,77.79
7,Alice,361.87
8,Chloe,122.97
9,Alice,132.94
10,Emma,56.96
11,Alice,136.65
12,Farid,238.82
13,Chloe,167.85
14,Bob,74.48
15,Farid,65.05
16,Bob,75.74
17,Bob,83.05
18,Farid,49.94
19,Chloe,284.74
20,Emma,44.27
21,Emma,49.48
22,Farid,118.05
23,David,212.85
24,Nadia,178.64
25,Nadia,114.1
26,Bob,145.38
27,Emma,176.6
28,Chloe,100.77
29,Nadia,22.92
30,Emma,51.95
31,Bob,14.63
32,Farid,48.88
33,Bob,191.28
34,Nadia,382.23
35,Farid,398.79
36,Chloe,45.05
37,Alice,37.05
38,Alice,15.68
39,Nadia,101.42
40,Bob,370.6
41,David,29.44
42,Alice,252.78
43,Alice,148.42
44,Farid,37.14
45,Emma,45.89
46,Nadia,365.34
47,Alice,14.05
48,Nadia,77.9
49,Nadia,55.86
50,Chloe,221.31
51,Farid,89.63
52,Bob,294.8
53,Alice,296.04
54,Nadia,52.49
55,Alice,57.6
56,Emma,109.45
57,Farid,56.69
58,Farid,248.95
59,Farid,34.0
60,Alice,46.66
